,AI,EF,issn,journal,nlmuniqueid,rank
407,8.6478,0.043933,0012-9682,ECONOMETRICA,101085302,408
408,1.0848,0.043592,0363-6119,AM J PHYSIOL-REG I,100901230,409
409,4.1569,0.043151,0090-5364,ANN STAT,,410
410,0.72,0.043048,0887-624X,J POLYM SCI POL CHEM,,411
411,2.0219,0.042978,1525-0016,MOL THER,100890581,412
412,1.4986,0.042792,0300-5127,BIOCHEM SOC T,7506897,413
413,1.6491,0.042676,0018-9200,IEEE J SOLID-ST CIRC,,414
414,1.1243,0.042517,0268-1161,HUM REPROD,8701199,415
415,1.3719,0.04237,0363-6143,AM J PHYSIOL-CELL PH,100901225,416
416,1.3304,0.042334,1055-7903,MOL PHYLOGENET EVOL,9304400,417
417,0.4914,0.042167,0022-0248,J CRYST GROWTH,100971389,418
418,1.0564,0.042121,0730-2312,J CELL BIOCHEM,8205768,419
419,1.8448,0.042089,0010-3616,COMMUN MATH PHYS,,420
420,1.3658,0.042081,0014-4827,EXP CELL RES,0373226,421
421,0.733,0.042024,0887-0624,ENERG FUEL,100971627,422
422,0.8248,0.04198,0017-9310,INT J HEAT MASS TRAN,,423
423,6.9747,0.041957,1931-3128,CELL HOST MICROBE,101302316,424
424,2.5126,0.041887,0898-929X,J COGNITIVE NEUROSCI,8910747,425
425,2.7197,0.0417,0733-8716,IEEE J SEL AREA COMM,,426
426,3.211,0.041694,0010-8545,COORDIN CHEM REV,,427
427,5.8696,0.04166,0968-0004,TRENDS BIOCHEM SCI,7610674,428
428,1.2007,0.04164,0013-9580,EPILEPSIA,2983306R,429
429,1.1892,0.041396,1439-4235,CHEMPHYSCHEM,100954211,430
430,0.9217,0.041329,0920-5861,CATAL TODAY,,431
431,0.788,0.041291,0378-5173,INT J PHARMACEUT,7804127,432
432,1.5127,0.041255,0277-6715,STAT MED,8215016,433
433,1.2134,0.041192,0741-3106,IEEE ELECTR DEVICE L,,434
434,4.8697,0.041083,0959-440X,CURR OPIN STRUC BIOL,9107784,435
435,1.5329,0.041017,0022-3476,J PEDIATR-US,0375410,436
436,0.7367,0.040977,0090-4295,UROLOGY,0366151,437
437,1.5995,0.040865,0884-8734,J GEN INTERN MED,8605834,438
438,0.892,0.040851,0733-8724,J LIGHTWAVE TECHNOL,,439
439,3.3766,0.04081,0018-9219,P IEEE,,440
440,0.7936,0.040694,0378-1127,FOREST ECOL MANAG,,441
441,0.6615,0.040633,0936-5214,SYNLETT,,442
442,1.438,0.040588,0005-1098,AUTOMATICA,,443
443,4.6472,0.04057,1359-4184,MOL PSYCHIATR,9607835,444
444,1.4964,0.040342,0029-8549,OECOLOGIA,0150372,445
445,4.725,0.040295,0959-4388,CURR OPIN NEUROBIOL,9111376,446
446,0.8158,0.04029,0022-5282,J TRAUMA,0376373,447
447,1.1349,0.040253,0278-0046,IEEE T IND ELECTRON,,448
448,2.3449,0.040211,1059-7794,HUM MUTAT,9215429,449
449,1.327,0.04018,0045-7825,COMPUT METHOD APPL M,,450
450,0.9996,0.040149,0018-9383,IEEE T ELECTRON DEV,,451
451,1.7178,0.040136,1549-9618,J CHEM THEORY COMPUT,,452
452,0.834,0.040122,0031-9155,PHYS MED BIOL,0401220,453
453,1.425,0.040063,8756-3282,BONE,,454
454,1.7572,0.040026,0307-0565,INT J OBESITY,7703240,455
455,1.751,0.039949,0022-3050,J NEUROL NEUROSUR PS,2985191R,456
456,0.8635,0.039876,1464-4096,BJU INT,100886721,457
457,0.5829,0.039748,0001-4966,J ACOUST SOC AM,7503051,458
458,1.5194,0.03971,0002-8614,J AM GERIATR SOC,7503062,459
459,0.8489,0.039702,0003-2999,ANESTH ANALG,1310650,460
460,1.4309,0.039678,0920-9964,SCHIZOPHR RES,,461
461,1.1401,0.039582,1350-0872,MICROBIOL-SGM,9430468,462
462,0.705,0.03958,0009-2509,CHEM ENG SCI,,463
463,1.7108,0.039503,0009-2541,CHEM GEOL,100971315,464
464,3.8584,0.039344,0169-409X,ADV DRUG DELIVER REV,8710523,465
465,0.8209,0.039281,1385-8947,CHEM ENG J,,466
466,1.3372,0.039264,0002-9394,AM J OPHTHALMOL,0370500,467
467,1.2058,0.039208,1931-857X,AM J PHYSIOL-RENAL,,468
468,5.8328,0.039153,1744-4292,MOL SYST BIOL,101235389,469
469,1.1776,0.039006,1076-3279,TISSUE ENG,9505538,470
470,0.7512,0.039002,1570-0232,J CHROMATOGR B,101139554,471
471,1.3961,0.038997,1462-0324,RHEUMATOLOGY,100883501,472
472,1.3745,0.038847,0014-4886,EXP NEUROL,0370712,473
473,1.2506,0.038761,0033-3158,PSYCHOPHARMACOLOGY,7609417,474
474,1.3141,0.038682,0927-0248,SOL ENERG MAT SOL C,,475
475,1.0075,0.038414,0090-8258,GYNECOL ONCOL,0365304,476
476,1.3255,0.038409,0018-9286,IEEE T AUTOMAT CONTR,,477
477,1.0101,0.038347,1471-2407,BMC CANCER,100967800,478
478,0.9647,0.03834,0166-4328,BEHAV BRAIN RES,8004872,479
479,1.2712,0.038329,0003-3472,ANIM BEHAV,0376746,480
480,1.9296,0.038184,0001-8708,ADV MATH,,481
481,1.2333,0.038158,1434-6044,EUR PHYS J C,,482
482,1.905,0.038152,0277-3791,QUATERNARY SCI REV,,483
483,1.2899,0.038135,1058-8388,DEV DYNAM,9201927,484
484,1.9208,0.038116,0749-3797,AM J PREV MED,8704773,485
485,0.6139,0.038066,1041-1135,IEEE PHOTONIC TECH L,,486
486,4.1364,0.037931,0952-7915,CURR OPIN IMMUNOL,8900118,487
487,1.549,0.037868,1355-6037,HEART,9602087,488
488,0.7537,0.037737,0301-4215,ENERG POLICY,9876005,489
489,1.1393,0.037716,0266-3538,COMPOS SCI TECHNOL,,490
490,2.2339,0.037611,1051-0761,ECOL APPL,9889808,491
491,0.9518,0.037584,0930-2794,SURG ENDOSC,8806653,492
492,2.8896,0.037468,0300-5771,INT J EPIDEMIOL,7802871,493
493,1.6919,0.037452,0272-6386,AM J KIDNEY DIS,8110075,494
494,1.7375,0.037282,1555-9041,CLIN J AM SOC NEPHRO,101271570,495
495,0.6302,0.037261,0254-0584,MATER CHEM PHYS,,496
496,0.8237,0.037237,0018-926X,IEEE T ANTENN PROPAG,,497
497,1.5449,0.037203,0003-3022,ANESTHESIOLOGY,1300217,498
498,1.6099,0.037172,1057-7149,IEEE T IMAGE PROCESS,9886191,499
499,0.5846,0.037121,0924-0136,J MATER PROCESS TECH,,500
500,1.61,0.037028,1357-2725,INT J BIOCHEM CELL B,9508482,501
501,2.3691,0.037018,1523-0864,ANTIOXID REDOX SIGN,100888899,502
502,0.696,0.037007,0022-460X,J SOUND VIB,,503
503,1.1473,0.036908,0007-0963,BRIT J DERMATOL,0004041,504
504,3.1151,0.036907,0162-1459,J AM STAT ASSOC,01510020R,505
505,1.1905,0.0369,0038-0717,SOIL BIOL BIOCHEM,0244736,506
506,0.7676,0.036787,0038-1098,SOLID STATE COMMUN,,507
507,1.0632,0.03652,0195-6108,AM J NEURORADIOL,8003708,508
508,1.6889,0.036395,0160-6689,J CLIN PSYCHIAT,7801243,509
509,2.8386,0.036391,0304-4076,J ECONOMETRICS,101085117,510
510,1.1174,0.036335,0315-162X,J RHEUMATOL,7501984,511
511,0.6647,0.036317,1434-1948,EUR J INORG CHEM,,512
512,1.0982,0.036316,0740-3194,MAGN RESON MED,8505245,513
513,0.5883,0.036273,0927-7757,COLLOID SURFACE A,,514
514,0.505,0.036211,0011-9164,DESALINATION,,515
515,1.3653,0.036206,0016-5107,GASTROINTEST ENDOSC,0010505,516
516,2.3818,0.036169,1065-9471,HUM BRAIN MAPP,9419065,517
517,0.8223,0.036134,1471-2458,BMC PUBLIC HEALTH,100968562,518
518,4.4765,0.036124,0168-9525,TRENDS GENET,8507085,519
519,1.4069,0.036072,0195-9131,MED SCI SPORT EXER,8005433,520
520,2.4304,0.035927,0040-6376,THORAX,0417353,521
521,0.8522,0.035902,0014-4819,EXP BRAIN RES,0043312,522
522,1.616,0.035832,1466-609X,CRIT CARE,,523
523,1.1747,0.035807,0031-0182,PALAEOGEOGR PALAEOCL,100971411,524
524,1.1522,0.035797,1093-9946,FRONT BIOSCI-LANDMRK,,525
525,1.8408,0.035616,0888-8809,MOL ENDOCRINOL,8801431,526
526,0.882,0.035572,0021-9290,J BIOMECH,0157375,527
527,1.5099,0.035557,0034-4257,REMOTE SENS ENVIRON,,528
528,0.9006,0.035545,0009-921X,CLIN ORTHOP RELAT R,0075674,529
529,0.799,0.035507,1549-3296,J BIOMED MATER RES A,101234237,530
530,1.6503,0.035442,0024-3590,LIMNOL OCEANOGR,9882871,531
531,0.415,0.035388,0013-5194,ELECTRON LETT,,532
532,1.7929,0.03538,0002-9343,AM J MED,0267200,533
533,0.3239,0.035348,0921-4526,PHYSICA B,,534
534,1.0245,0.035343,0006-3592,BIOTECHNOL BIOENG,7502021,535
535,1.2272,0.035335,0954-3899,J PHYS G NUCL PARTIC,100971606,536
536,0.8394,0.035314,0032-1052,PLAST RECONSTR SURG,,537
537,1.0925,0.035284,0076-6879,METHOD ENZYMOL,0212271,538
538,6.1922,0.035205,1473-3099,LANCET INFECT DIS,101130150,539
539,1.2775,0.035075,0031-3203,PATTERN RECOGN,,540
540,1.2843,0.034907,0340-6245,THROMB HAEMOSTASIS,7608063,541
541,1.5094,0.034852,0342-4642,INTENS CARE MED,7704851,542
542,1.7431,0.034781,1525-2027,GEOCHEM GEOPHY GEOSY,,543
543,0.7668,0.034737,1381-1169,J MOL CATAL A-CHEM,,544
544,1.5175,0.034733,0192-8651,J COMPUT CHEM,9878362,545
545,1.5827,0.034716,1072-7515,J AM COLL SURGEONS,9431305,546
546,0.9838,0.034698,0016-2361,FUEL,,547
547,1.3529,0.034565,1096-6080,TOXICOL SCI,,548
548,1.681,0.03456,0969-9961,NEUROBIOL DIS,9500169,549
549,2.0899,0.034534,1542-3565,CLIN GASTROENTEROL H,101160775,550
550,1.3084,0.034532,0263-6352,J HYPERTENS,8306882,551
551,0.9528,0.034493,0020-7683,INT J SOLIDS STRUCT,,552
552,0.9954,0.034429,0022-1317,J GEN VIROL,0077340,553
553,2.2929,0.034398,0888-8892,CONSERV BIOL,9882301,554
554,0.4019,0.03435,0030-4018,OPT COMMUN,9876434,555
555,0.9369,0.034347,0021-9355,J BONE JOINT SURG AM,,556
556,0.914,0.034331,0003-2697,ANAL BIOCHEM,0370535,557
557,0.8012,0.034325,1387-1811,MICROPOR MESOPOR MAT,,558
558,2.3305,0.034322,0007-1250,BRIT J PSYCHIAT,0342367,559
559,0.6199,0.034288,0039-6028,SURF SCI,,560
560,1.3497,0.03426,1043-1802,BIOCONJUGATE CHEM,9010319,561
561,1.2063,0.03418,1439-4227,CHEMBIOCHEM,100937360,562
562,1.4303,0.034154,0002-9947,T AM MATH SOC,,563
563,2.2323,0.034062,0022-3417,J PATHOL,0204634,564
564,0.9516,0.034031,0007-1145,BRIT J NUTR,0372547,565
565,0.7291,0.033951,0094-2405,MED PHYS,0425746,566
566,2.178,0.033874,0033-2917,PSYCHOL MED,1254142,567
567,0.387,0.033838,0018-9464,IEEE T MAGN,100971385,568
568,1.851,0.033777,0197-4580,NEUROBIOL AGING,8100437,569
569,4.3783,0.033725,0959-437X,CURR OPIN GENET DEV,9111375,570
570,1.0128,0.033584,1053-1807,J MAGN RESON IMAGING,9105850,571
571,1.1916,0.033481,1347-9032,CANCER SCI,101168776,572
572,0.9591,0.033422,0167-5273,INT J CARDIOL,8200291,573
573,0.8949,0.033335,0022-3085,J NEUROSURG,0253357,574
574,1.0818,0.033054,1381-6128,CURR PHARM DESIGN,9602487,575
575,3.2567,0.03297,0021-9010,J APPL PSYCHOL,0222526,576
576,7.9572,0.032836,1755-4330,NAT CHEM,101499734,577
577,0.7644,0.032819,0951-4198,RAPID COMMUN MASS SP,8802365,578
578,7.5335,0.032745,0034-6527,REV ECON STUD,101085345,579
579,0.7479,0.03274,0021-8693,J ALGEBRA,,580
580,2.4654,0.032736,1398-9219,TRAFFIC,100939340,581
581,0.3652,0.032676,0168-583X,NUCL INSTRUM METH B,9881766,582
582,1.0137,0.032627,0938-7994,EUR RADIOL,9114774,583
583,1.4176,0.032603,0027-0644,MON WEATHER REV,,584
584,1.1949,0.032565,0193-1857,AM J PHYSIOL-GASTR L,100901227,585
585,0.4782,0.032443,0378-4371,PHYSICA A,9890571,586
586,2.5127,0.032442,0025-1909,MANAGE SCI,9879580,587
587,0.6233,0.03236,0039-7881,SYNTHESIS-STUTTGART,,588
588,3.8091,0.032345,1937-9145,SCI SIGNAL,,589
589,0.8768,0.032338,0002-9637,AM J TROP MED HYG,0370507,590
590,1.4218,0.032335,1364-503X,PHILOS T R SOC A,101133385,591
591,1.9748,0.032307,1462-5814,CELL MICROBIOL,100883691,592
592,1.3291,0.03225,0005-2736,BBA-BIOMEMBRANES,,593
593,1.5681,0.032238,1010-061X,J EVOLUTION BIOL,8809954,594
594,0.5865,0.032174,0022-3115,J NUCL MATER,,595
595,0.8392,0.03209,0022-5193,J THEOR BIOL,0376342,596
596,0.6914,0.032067,0955-2219,J EUR CERAM SOC,,597
597,1.2369,0.032008,0022-0396,J DIFFER EQUATIONS,,598
598,0.9739,0.032007,0161-5890,MOL IMMUNOL,7905289,599
599,0.6232,0.032004,0044-8486,AQUACULTURE,9875921,600
600,1.3853,0.031937,1040-0605,AM J PHYSIOL-LUNG C,100901229,601
601,3.7113,0.031923,0304-3932,J MONETARY ECON,,602
602,0.6723,0.031908,0953-4075,J PHYS B-AT MOL OPT,8901658,603
603,0.4604,0.031892,0022-3093,J NON-CRYST SOLIDS,,604
604,1.917,0.031888,0167-4889,BBA-MOL CELL RES,,605
605,1.4996,0.031849,1463-9262,GREEN CHEM,,606
606,1.2123,0.031794,0190-9622,J AM ACAD DERMATOL,7907132,607
607,1.1059,0.031782,0269-2813,ALIMENT PHARM THER,8707234,608
608,1.2995,0.031768,0929-8673,CURR MED CHEM,9440157,609
609,0.5929,0.031676,0022-0302,J DAIRY SCI,2985126R,610
610,0.7235,0.031619,0002-9939,P AM MATH SOC,,611
611,0.511,0.031614,0065-2598,ADV EXP MED BIOL,0121103,612
612,1.0249,0.031596,0007-1161,BRIT J OPHTHALMOL,0421041,613
613,1.752,0.031457,0105-4538,ALLERGY,7804028,614
614,1.7121,0.031368,0022-2828,J MOL CELL CARDIOL,0262322,615
615,1.309,0.03133,0022-1236,J FUNCT ANAL,,616
616,1.6696,0.031325,2151-464X,ARTHRIT CARE RES,101518086,617
617,0.9679,0.031297,0360-4012,J NEUROSCI RES,7600111,618
618,3.8847,0.031277,1360-1385,TRENDS PLANT SCI,9890299,619
619,1.3148,0.031155,1742-7061,ACTA BIOMATER,101233144,620
620,5.6303,0.031081,0001-4273,ACAD MANAGE J,7703609,621
621,1.6893,0.031014,0965-2140,ADDICTION,9304118,622
622,1.3855,0.030976,1198-743X,CLIN MICROBIOL INFEC,9516420,623
623,1.9378,0.03092,0025-7079,MED CARE,0230027,624
624,1.4792,0.0309,0898-6568,CELL SIGNAL,8904683,625
625,0.601,0.030832,0377-0427,J COMPUT APPL MATH,,626
626,1.9428,0.030821,0009-9236,CLIN PHARMACOL THER,0372741,627
627,1.5305,0.03082,1478-6362,ARTHRITIS RES THER,,628
628,1.2249,0.030552,1022-1336,MACROMOL RAPID COMM,9888239,629
629,16.1685,0.030543,0147-006X,ANNU REV NEUROSCI,7804039,630
630,1.3106,0.030526,0961-8368,PROTEIN SCI,9211750,631
631,2.1698,0.030523,0730-0301,ACM T GRAPHIC,,632
632,3.523,0.030497,1369-5266,CURR OPIN PLANT BIOL,100883395,633
633,1.5423,0.030493,0030-1299,OIKOS,,634
634,2.2842,0.030413,0022-2593,J MED GENET,2985087R,635
635,1.4093,0.03037,0022-4928,J ATMOS SCI,,636
636,1.8513,0.030151,0271-678X,J CEREBR BLOOD F MET,8112566,637
637,1.6173,0.030106,0007-1323,BRIT J SURG,0372553,638
638,2.5044,0.029947,1554-8627,AUTOPHAGY,101265188,639
639,1.3718,0.029939,0376-8716,DRUG ALCOHOL DEPEN,7513587,640
640,1.7227,0.02992,1744-9561,BIOL LETTERS,101247722,641
641,1.0879,0.029728,0165-0327,J AFFECT DISORDERS,7906073,642
642,2.9598,0.029693,0586-7614,SCHIZOPHRENIA BULL,0236760,643
643,8.095,0.029693,0033-2909,PSYCHOL BULL,0376473,644
644,3.5424,0.02969,1369-5274,CURR OPIN MICROBIOL,9815056,645
645,0.6282,0.02969,0173-0835,ELECTROPHORESIS,8204476,646
646,3.3686,0.029654,0149-7634,NEUROSCI BIOBEHAV R,7806090,647
647,2.4245,0.029614,0038-6308,SPACE SCI REV,100971458,648
648,8.2348,0.029601,0079-6700,PROG POLYM SCI,,649
649,12.044,0.029599,1543-5008,ANNU REV PLANT BIOL,101140127,650
650,0.9129,0.029518,0168-1605,INT J FOOD MICROBIOL,8412849,651
651,3.015,0.029472,0820-3946,CAN MED ASSOC J,9711805,652
652,1.417,0.029443,0147-5185,AM J SURG PATHOL,7707904,653
653,0.7002,0.029406,0375-9474,NUCL PHYS A,101083919,654
654,0.8821,0.029281,0304-3800,ECOL MODEL,9882888,655
655,1.2582,0.029236,0028-3908,NEUROPHARMACOLOGY,0236217,656
656,0.7571,0.029229,0378-1097,FEMS MICROBIOL LETT,7705721,657
657,2.9458,0.029175,0163-7258,PHARMACOL THERAPEUT,7905840,658
658,0.6718,0.029137,0022-4596,J SOLID STATE CHEM,,659
659,1.1607,0.02908,1388-2457,CLIN NEUROPHYSIOL,100883319,660
660,1.1948,0.029077,0303-7207,MOL CELL ENDOCRINOL,7500844,661
661,1.4676,0.029069,1547-5271,HEART RHYTHM,101200317,662
662,7.7275,0.029053,0034-4885,REP PROG PHYS,19620690R,663
663,1.19,0.029049,0891-3668,PEDIATR INFECT DIS J,8701858,664
664,3.7206,0.029,0165-6147,TRENDS PHARMACOL SCI,7906158,665
665,1.0475,0.028971,0041-008X,TOXICOL APPL PHARM,0416575,666
666,1.5007,0.028954,0937-941X,OSTEOPOROSIS INT,9100105,667
667,0.6119,0.028953,0947-8396,APPL PHYS A-MATER,,668
668,1.6952,0.028945,0893-3952,MODERN PATHOL,8806605,669
669,0.8591,0.028741,1552-4825,AM J MED GENET A,101235741,670
670,1.8766,0.028738,0161-8105,SLEEP,7809084,671
671,0.4955,0.028732,0960-0779,CHAOS SOLITON FRACT,100971564,672
672,0.8588,0.028712,0196-2892,IEEE T GEOSCI REMOTE,,673
673,1.2429,0.028676,1534-7362,J VISION,101147197,674
674,2.1706,0.028662,0021-8901,J APPL ECOL,,675
675,1.0545,0.028545,0029-5981,INT J NUMER METH ENG,,676
676,1.3756,0.028408,0899-823X,INFECT CONT HOSP EP,8804099,677
677,0.746,0.028403,0144-8617,CARBOHYD POLYM,8307156,678
678,2.4916,0.028378,0930-7575,CLIM DYNAM,,679
679,0.4683,0.028308,0957-4174,EXPERT SYST APPL,,680
680,0.6483,0.028274,0731-7085,J PHARMACEUT BIOMED,8309336,681
681,0.7448,0.028192,1364-5072,J APPL MICROBIOL,9706280,682
682,0.8412,0.02814,1010-7940,EUR J CARDIO-THORAC,8804069,683
683,0.854,0.028034,0167-2738,SOLID STATE IONICS,,684
684,3.1309,0.027964,1001-0602,CELL RES,9425763,685
685,5.0298,0.027951,0003-486X,ANN MATH,,686
686,1.1973,0.027909,0724-8741,PHARM RES-DORDR,8406521,687
687,3.4231,0.027874,1367-5931,CURR OPIN CHEM BIOL,9811312,688
688,1.0936,0.027859,0040-1951,TECTONOPHYSICS,,689
689,0.8557,0.027824,0364-2313,WORLD J SURG,7704052,690
690,2.3853,0.027823,0022-0477,J ECOL,,691
691,1.7743,0.027822,0305-0270,J BIOGEOGR,,692
692,0.605,0.027796,0260-8774,J FOOD ENG,,693
693,0.7492,0.027769,0960-1317,J MICROMECH MICROENG,,694
694,1.0718,0.027754,1742-5468,J STAT MECH-THEORY E,,695
695,6.8128,0.027738,0895-3309,J ECON PERSPECT,9885204,696
696,0.8127,0.027679,0740-3224,J OPT SOC AM B,9880875,697
697,2.4389,0.027598,1074-5521,CHEM BIOL,9500160,698
698,2.3002,0.027548,0021-9630,J CHILD PSYCHOL PSYC,0375361,699
699,3.8765,0.027514,0003-0007,B AM METEOROL SOC,100971607,700
700,0.8468,0.027505,0165-0270,J NEUROSCI METH,7905558,701
701,0.7032,0.027497,0946-2171,APPL PHYS B-LASERS O,100910685,702
702,1.0084,0.027463,0031-9384,PHYSIOL BEHAV,0151504,703
703,1.8679,0.02744,0894-1491,GLIA,8806785,704
704,11.4212,0.02744,1081-0706,ANNU REV CELL DEV BI,9600627,705
705,2.5087,0.027422,0009-3920,CHILD DEV,0372725,706
706,1.1592,0.02732,0363-5465,AM J SPORT MED,7609541,707
707,3.8187,0.027314,1471-4906,TRENDS IMMUNOL,100966032,708
708,0.8007,0.027284,0018-9545,IEEE T VEH TECHNOL,,709
709,0.6083,0.027022,0018-8158,HYDROBIOLOGIA,9879627,710
710,0.7474,0.027003,0014-3057,EUR POLYM J,,711
711,4.5117,0.026975,0020-9910,INVENT MATH,,712
712,1.2453,0.026974,0305-7364,ANN BOT-LONDON,0372347,713
713,0.9165,0.026895,0042-6989,VISION RES,0417402,714
714,2.2013,0.026887,0012-1649,DEV PSYCHOL,0260564,715
715,0.8857,0.026866,0090-6778,IEEE T COMMUN,,716
716,1.3554,0.026772,0010-4655,COMPUT PHYS COMMUN,100971327,717
717,4.6394,0.026717,1063-5157,SYST BIOL,9302532,718
718,0.9777,0.026717,0169-555X,GEOMORPHOLOGY,,719
719,1.8468,0.026622,1568-7864,DNA REPAIR,,720
720,0.7067,0.026595,0223-5234,EUR J MED CHEM,0420510,721
721,0.6483,0.026587,0022-2488,J MATH PHYS,,722
722,1.0809,0.026583,0921-8009,ECOL ECON,101085818,723
723,0.7021,0.026498,1615-9306,J SEP SCI,101088554,724
724,2.1846,0.026484,1465-5411,BREAST CANCER RES,100927353,725
725,0.9044,0.026455,0032-079X,PLANT SOIL,9882808,726
726,0.7477,0.026438,1566-7367,CATAL COMMUN,,727
727,1.3212,0.026436,1619-7070,EUR J NUCL MED MOL I,101140988,728
728,1.066,0.026393,1549-8328,IEEE T CIRCUITS-I,,729
729,2.328,0.026386,0001-6322,ACTA NEUROPATHOL,0412041,730
730,1.8445,0.026353,0165-0009,CLIMATIC CHANGE,101087507,731
731,1.6287,0.026286,0163-6804,IEEE COMMUN MAG,,732
732,2.425,0.026285,0022-0531,J ECON THEORY,101086004,733
733,0.8385,0.026251,0167-9473,COMPUT STAT DATA AN,,734
734,0.2912,0.026246,1533-4880,J NANOSCI NANOTECHNO,101088195,735
735,0.7577,0.026125,1099-0062,ELECTROCHEM SOLID ST,,736
736,0.8341,0.026068,0378-1135,VET MICROBIOL,7705469,737
737,1.3732,0.026015,1582-1838,J CELL MOL MED,101083777,738
738,1.9377,0.025978,0010-0277,COGNITION,0367541,739
739,0.7753,0.025964,0022-510X,J NEUROL SCI,0375403,740
740,0.9272,0.025949,0003-9861,ARCH BIOCHEM BIOPHYS,0372430,741
741,8.7858,0.025943,0022-3808,J POLIT ECON,9878848,742
742,0.6399,0.025842,0924-4247,SENSOR ACTUAT A-PHYS,101137102,743
743,1.3729,0.025809,1535-9778,EUKARYOT CELL,,744
744,1.6729,0.025772,1044-1549,AM J RESP CELL MOL,8917225,745
745,11.3236,0.025752,0066-4308,ANNU REV PSYCHOL,0372374,746
746,1.623,0.025748,1047-8477,J STRUCT BIOL,9011206,747
747,2.0672,0.025742,0021-8790,J ANIM ECOL,0376574,748
748,0.7111,0.025679,0024-3205,LIFE SCI,0375521,749
749,1.092,0.025675,0006-3363,BIOL REPROD,0207224,750
750,0.945,0.02565,0002-9610,AM J SURG,0370473,751
751,1.4744,0.025634,1078-0998,INFLAMM BOWEL DIS,9508162,752
752,1.2744,0.025594,1470-0328,BJOG-INT J OBSTET GY,100935741,753
753,1.1545,0.025578,0167-8140,RADIOTHER ONCOL,8407192,754
754,0.6832,0.025548,0163-3864,J NAT PROD,7906882,755
755,0.6859,0.025548,0023-852X,LARYNGOSCOPE,8607378,756
756,0.6846,0.025525,1434-6028,EUR PHYS J B,,757
757,1.232,0.02551,1556-0864,J THORAC ONCOL,101274235,758
758,1.3533,0.025489,0003-9950,ARCH OPHTHALMOL-CHIC,7706534,759
759,0.6358,0.025467,0278-6915,FOOD CHEM TOXICOL,8207483,760
760,1.7459,0.025423,0140-7791,PLANT CELL ENVIRON,9309004,761
761,2.0739,0.02537,0890-8567,J AM ACAD CHILD PSY,8704565,762
762,0.9322,0.025339,0090-9556,DRUG METAB DISPOS,9421550,763
763,4.3972,0.025322,0034-6535,REV ECON STAT,9877925,764
764,0.9867,0.025279,0885-8993,IEEE T POWER ELECTR,,765
765,0.8778,0.025243,0885-6087,HYDROL PROCESS,,766
766,1.7441,0.025238,0895-4356,J CLIN EPIDEMIOL,8801383,767
767,0.5856,0.025197,0898-1221,COMPUT MATH APPL,101092359,768
768,1.1388,0.025168,0804-4643,EUR J ENDOCRINOL,9423848,769
769,12.1338,0.025147,0066-4197,ANNU REV GENET,0117605,770
770,1.4555,0.025145,1018-4813,EUR J HUM GENET,9302235,771
771,2.9597,0.025133,0920-5691,INT J COMPUT VISION,,772
772,0.406,0.02507,0250-7005,ANTICANCER RES,8102988,773
773,0.8685,0.025054,0378-1119,GENE,7706761,774
774,1.4511,0.025043,0079-6123,PROG BRAIN RES,0376441,775
775,1.0644,0.025027,0003-2654,ANALYST,0372652,776
776,0.728,0.024968,0010-938X,CORROS SCI,,777
777,1.3274,0.024954,1882-0778,APPL PHYS EXPRESS,,778
778,0.8402,0.024934,1383-5866,SEP PURIF TECHNOL,,779
779,0.587,0.024857,0378-8741,J ETHNOPHARMACOL,7903310,780
780,1.3145,0.024856,0029-5515,NUCL FUSION,,781
781,2.9589,0.024854,1560-7917,EUROSURVEILLANCE,,782
782,0.4552,0.024797,0021-9568,J CHEM ENG DATA,,783
783,1.1731,0.024784,0039-6060,SURGERY,0417347,784
784,1.5077,0.024776,0005-2728,BBA-BIOENERGETICS,,785
785,0.6496,0.024696,0261-3069,MATER DESIGN,,786
786,2.8367,0.024608,1084-9521,SEMIN CELL DEV BIOL,9607332,787
787,0.8448,0.024603,0272-7714,ESTUAR COAST SHELF S,,788
788,0.8916,0.024593,0031-9422,PHYTOCHEMISTRY,0151434,789
789,1.03,0.024577,1531-1309,IEEE MICROW WIREL CO,,790
790,0.5316,0.024561,0012-365X,DISCRETE MATH,,791
791,2.682,0.024545,1532-4435,J MACH LEARN RES,,792
792,0.7904,0.024513,0730-7268,ENVIRON TOXICOL CHEM,8308958,793
793,0.2674,0.024471,0041-1345,TRANSPL P,0243532,794
794,1.9585,0.02446,1072-4710,ARCH PEDIAT ADOL MED,9422751,795
795,1.5949,0.024395,1364-0321,RENEW SUST ENERG REV,,796
796,2.6435,0.024386,0886-6236,GLOBAL BIOGEOCHEM CY,100971590,797
797,0.4479,0.024365,0022-328X,J ORGANOMET CHEM,,798
798,1.0386,0.024343,0340-5354,J NEUROL,0423161,799
799,0.4916,0.024179,0167-9317,MICROELECTRON ENG,,800
800,2.6786,0.02417,1044-3983,EPIDEMIOLOGY,9009644,801
801,2.0752,0.024167,1948-7185,J PHYS CHEM LETT,,802
802,0.5042,0.024124,0370-1972,PHYS STATUS SOLIDI B,,803
803,2.0625,0.024095,0265-9247,BIOESSAYS,8510851,804
804,1.7916,0.024052,1726-4170,BIOGEOSCIENCES,,805
805,0.5058,0.02399,1862-6300,PHYS STATUS SOLIDI A,,806
806,0.7943,0.023934,0022-3549,J PHARM SCI-US,2985195R,807
807,0.4842,0.023825,1071-1023,J VAC SCI TECHNOL B,,808
